player_id,player_name,n_games,slope,r,p_two_sided
richajo01,Josh Richardson,120,0.04172594252082376,0.13051577454992247,0.1553606174433686
barneha02,Harrison Barnes,226,0.0418131327888556,0.11694485903911217,0.07937183071057079
grahade01,Devonte' Graham,71,0.04231586513084494,0.14967198941715887,0.2128362355170061
kuzmaky01,Kyle Kuzma,185,0.0423545019747902,0.07516745439869849,0.30920208207295236
powelno01,Norman Powell,126,0.04250565815748511,0.078282961868168,0.3835878383374867
vucevni01,Nikola VuÄeviÄ,216,0.042716477011231366,0.0696253535221293,0.3084030633424039
achiupr01,Precious Achiuwa,137,0.04365268003499883,0.30299479984875666,0.0003195055103369793
kispeco01,Corey Kispert,216,0.04373868218997058,0.26653855495991174,7.29157225130725e-05
schrode01,Dennis SchrÃ¶der,195,0.04398495526354658,0.1313326263447072,0.06723433745211076
vincega01,Gabe Vincent,126,0.04409866183250468,0.23702850432795192,0.0075329669349989145
banchpa01,Paolo Banchero,142,0.04484642028580941,0.06269285348018185,0.4585734061272076
hausesa01,Sam Hauser,74,0.04549451545871891,0.12747908999680263,0.27908804558039557
bogdabo01,Bogdan BogdanoviÄ,132,0.045855058120239295,0.11616347152459514,0.1847012601869065
joneshe01,Herbert Jones,205,0.04647053215072011,0.1402219511718291,0.04492940148379328
hayesja02,Jaxson Hayes,65,0.04701909508415873,0.25886934831832603,0.037322982347710795
barrerj01,RJ Barrett,133,0.04747139721410089,0.11970650539011543,0.16992903448571478
lavinza01,Zach LaVine,134,0.048003837194404556,0.07818983788586492,0.3691807847271404
claxtni01,Nic Claxton,137,0.04813257062729744,0.13327050287681239,0.12053487272894037
colliza01,Zach Collins,122,0.0484093944273161,0.1825021319025766,0.04422195820718472
jonesty01,Tyus Jones,204,0.04877328723038403,0.18724543638810803,0.007324324829037289
bartowi01,Will Barton,66,0.04980428938587415,0.09974526372826048,0.4255430119087696
greenja02,Javonte Green,60,0.04991037396472706,0.2847606618812466,0.027438518718072992
sextoco01,Collin Sexton,73,0.050458788159930226,0.1928612683974491,0.10210065745597502
thompau01,Ausar Thompson,58,0.0504684550961495,0.2656690855540338,0.04384063736872149
finnedo01,Dorian Finney-Smith,199,0.05102038055931692,0.1861313004965629,0.008483223590456496
wiggian01,Andrew Wiggins,134,0.05115278205055944,0.1326528545853759,0.12652684940530315
anderky01,Kyle Anderson,202,0.05199645195066553,0.23562762194984505,0.0007360858571534881
dosunay01,Ayo Dosunmu,218,0.052672653742116195,0.3038487173486999,4.901321181028015e-06
divindo01,Donte DiVincenzo,143,0.05311564412608308,0.25615880632243,0.0020149382187324046
westbru01,Russell Westbrook,204,0.05312332529134372,0.23215738488111923,0.0008339783285628822
hartjo01,Josh Hart,147,0.05363929568779581,0.22430274735048572,0.006310396432154509
jacksre01,Reggie Jackson,210,0.05395604230004534,0.2307615464359014,0.0007525334187378596
eubandr01,Drew Eubanks,73,0.054138705240814926,0.24494446613843107,0.03674224540663491
fontesi01,Simone Fontecchio,61,0.05419530094814279,0.2404040155863779,0.062007331426915266
braunch01,Christian Braun,77,0.05429248877275589,0.18499017487142558,0.10725249336776436
tatumja01,Jayson Tatum,209,0.05472977623928414,0.06321915138396565,0.36315094571219564
giddejo01,Josh Giddey,146,0.05483535582244643,0.16456105610076208,0.0471599879104446
connapa01,Pat Connaughton,187,0.05566034436905301,0.2331465479917348,0.0013217058459598849
konchjo01,John Konchar,67,0.055929390155344774,0.3451924853767881,0.004225045762781585
clarkjo01,Jordan Clarkson,130,0.05629070429514486,0.15879449249876929,0.07115029769569287
harteis01,Isaiah Hartenstein,70,0.05636486338155575,0.33408162059963015,0.004705999387736994
fultzma01,Markelle Fultz,55,0.05696758062379599,0.10899326849516158,0.42829444390564597
poeltja01,Jakob Poeltl,130,0.05727472378580819,0.12571857358703145,0.15409090283441731
olynyke01,Kelly Olynyk,136,0.05749067113850522,0.22214122737087102,0.009343097491192448
jacksja02,Jaren Jackson Jr.,192,0.058041617560530626,0.11637433308344017,0.10795201993785299
harremo01,Montrezl Harrell,66,0.058726192100423305,0.251519293906018,0.04163124433932731
martike04,KJ Martin,151,0.060046007139510776,0.29785024141221056,0.0002037708609092295
kesslwa01,Walker Kessler,128,0.060583415823137705,0.2505826103155466,0.004332623358593374
trentga02,Gary Trent Jr.,192,0.061270705022006364,0.18779621270071664,0.009095650611588513
randlju01,Julius Randle,139,0.061422577215601584,0.08306135628855986,0.33099239711503164
carusal01,Alex Caruso,128,0.062007909747991155,0.27240888800964674,0.0018659927336233968
gordoer01,Eric Gordon,127,0.06329615716181737,0.17031511710502292,0.055570618957244314
gaffoda01,Daniel Gafford,209,0.06331330803360435,0.2693226337569472,8.036412515782661e-05
